,Año,Semestre,N_VICTIMAS,Población Total,Tasa semestral
0,2016,1,65,3005929.0,2.1623930571879777
1,2016,2,81,3005929.0,2.694674425111172
2,2017,1,69,3025225.3333333335,2.2808218363017807
3,2017,2,71,3025225.3333333335,2.3469326141656004
4,2018,1,70,3044521.666666667,2.299211753570484
5,2018,2,79,3044521.666666667,2.5948246933152603
6,2019,1,57,3063818.0000000005,1.8604238241305453
7,2019,2,47,3063818.0000000005,1.534033679546239
8,2020,1,31,3083114.333333334,1.0054768214347762
9,2020,2,50,3083114.333333334,1.6217368087657682
10,2021,1,55,3102410.6666666674,1.7728149464846257
11,2021,2,42,3102410.6666666674,1.3537859591337142
